date,campaign_name,adset_name,creative_type,creative_message,spend,impressions,clicks,ctr,purchases,revenue,roas,audience_type,platform,country
2025-01-01,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-02,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-03,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-04,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-05,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-06,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-07,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-08,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-09,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-10,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-11,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-12,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-13,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-14,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-15,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-16,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-17,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-18,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-19,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-20,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,50,0.05,5,300,3.0,Broad,Facebook,US
2025-01-21,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,15,0.015,1,120,1.2,Broad,Facebook,US
2025-01-22,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,15,0.015,1,120,1.2,Broad,Facebook,US
2025-01-23,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,15,0.015,1,120,1.2,Broad,Facebook,US
2025-01-24,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,15,0.015,1,120,1.2,Broad,Facebook,US
2025-01-25,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,15,0.015,1,120,1.2,Broad,Facebook,US
2025-01-26,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,15,0.015,1,120,1.2,Broad,Facebook,US
2025-01-27,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,15,0.015,1,120,1.2,Broad,Facebook,US
2025-01-28,Summer Sale,Adset_Broad_Targeting,Video,Buy one get one free limited time,100,1000,15,0.015,1,120,1.2,Broad,Facebook,US
